"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Mancini, Trey","641820","414","9.7",36,"113.9","88.9","101.5","93.8","86","455","159","409","174",42,"43",10.4,7
"Hosmer, Eric","543333","413","3.3",26.6,"112.5","90.5","102.4","95.3","89.3","453","133","415","194",47,"24",5.8,4.2
"Grossman, Robbie","543257","410","21.1",39.5,"110.9","87.8","97.7","90.7","84","442","198","391","140",34.1,"31",7.6,4.6
"Anderson, Tim","641313","409","4.3",32.5,"110.2","89.6","100.5","94.8","86.3","417","141","389","171",42.3,"32",7.8,5.8
"Iglesias, Jose","578428","409","11.5",35.5,"110.2","85.4","96.6","88.9","83.1","417","155","396","117",28.6,"14",3.4,2.7
"Hernández, Enrique","571771","405","17.9",36.5,"111.3","90.8","100","93.7","88.1","434","191","393","175",43.2,"34",8.4,5.8
"Gurriel Jr., Lourdes","666971","405","10.5",35.8,"110.7","89.7","100.4","94.3","86.3","460","165","399","174",43,"39",9.6,7.2
"Meadows, Austin","640457","404","21.7",36.1,"110.3","89.3","99.2","91.9","87.4","443","201","394","153",37.9,"35",8.7,5.9
"Hernández, Teoscar","606192","404","13.1",37.4,"115.7","91.8","103.3","96.3","86.7","464","182","405","198",49,"56",13.9,9.4
"Benintendi, Andrew","643217","403","15.4",38.2,"107.6","89.6","98.8","93.9","83.8","420","187","391","174",43.2,"36",8.9,6.7
"Grichuk, Randal","545341","401","16.1",30.4,"113.8","89.8","101.3","93.5","88.6","459","167","403","165",41.1,"34",8.5,6.2
"Bell, Josh","605137","400","4.9",28.5,"115.8","92.5","103.3","96.5","90.3","448","144","411","208",52,"35",8.8,6.2
"Carlson, Dylan","666185","399","15.1",40.6,"109","88.2","97.4","91.4","84.5","420","179","395","124",31.1,"28",7,4.5
"Lowe, Nathaniel","663993","398","5",31.4,"113.9","90.8","101.9","93","89.4","465","146","413","181",45.5,"38",9.5,5.9
"Judge, Aaron","592450","397","11.6",38.5,"119","95.8","107.1","98.5","93.3","455","185","402","230",58.4,"70",17.6,11.1
"Renfroe, Hunter","592669","397","15.6",32.7,"116.4","90.1","102.7","96.3","85.6","456","177","413","176",44.3,"57",14.4,10
"Peralta, David","444482","397","5.3",27.2,"113.8","89.3","101.2","93.1","88.1","445","133","410","166",41.8,"20",5,3.7
"India, Jonathan","663697","396","13.1",33.6,"110.2","87.6","99.5","93","83.4","451","164","407","153",38.6,"38",9.6,6
"Cruz, Nelson","443558","396","11.8",31.8,"117.5","92.9","105.5","97.6","90.4","457","169","410","208",52.5,"54",13.6,9.2
"Alvarez, Yordan","670541","395","14.1",37.2,"116.4","93.2","104.4","97.4","88.5","456","192","408","214",54.2,"63",15.9,10.5
"Canha, Mark","592192","393","13.5",36.1,"107.7","87.3","97.9","92.7","83","416","169","386","139",35.4,"28",7.1,4.5
"Smith, Pavin","656976","393","9",33.6,"110.8","87.2","100.1","92.3","84.8","443","158","410","168",42.7,"20",5.1,3.7
"Farmer, Kyle","571657","392","15.8",36,"107.6","87.2","97.5","92","83.5","424","168","394","125",31.9,"17",4.3,3.2
"Story, Trevor","596115","392","17.5",34.2,"111","90.6","100.8","94.1","87.5","475","187","419","167",42.6,"39",9.9,6.6
"García, Adolis","666969","391","14.7",29.4,"112.4","91","101.1","96.3","85.7","450","174","398","178",45.5,"45",11.5,7.2
"Arraez, Luis","650333","386","9.9",41.5,"104.2","88.4","96.2","91.1","85.7","405","162","400","118",30.6,"9",2.3,1.9
"McMahon, Ryan","641857","386","14.3",40.2,"111.5","90.5","100.8","93.9","86.8","478","184","409","168",43.5,"28",7.3,4.7
"Betts, Mookie","605141","385","18.9",34,"107.9","90.3","99.1","93.3","87.1","427","186","396","158",41,"30",7.8,5.5
"Hays, Austin","669720","385","12.5",32.2,"110.3","88.8","99.7","92.9","85.8","421","164","391","151",39.2,"35",9.1,6.6
"Díaz, Yandy","650490","384","6.6",28.9,"113.5","89.9","101.6","93","89.2","439","145","397","156",40.6,"27",7,5
"Crawford, Brandon","543063","383","14.7",35.8,"109.8","88.8","99.8","94.7","83.5","444","178","399","166",43.3,"44",11.5,8
"Walsh, Jared","665120","381","7.6",33.6,"114.8","89.6","101.7","94","86.8","437","153","402","157",41.3,"43",11.3,7.4
"Mountcastle, Ryan","663624","380","16.3",38.9,"114.6","89.1","100.5","92.5","84.9","447","189","396","151",39.7,"45",11.8,7.7
"Bryant, Kris","592178","380","15.1",37.1,"110.4","88.2","99.2","92.8","82.8","434","180","391","152",40,"39",10.3,6.7
"Herrera, Odúbel","546318","379","7.3",32.5,"113","88.9","100.9","92.2","88.3","434","145","413","152",40.1,"18",4.7,3.7
"Soler, Jorge","624585","379","15.7",30.9,"117.9","91.2","103.6","95.8","88.2","465","178","422","178",47,"48",12.7,8
"Vázquez, Christian","543877","379","13.6",32.7,"109.7","86.3","97","90.2","83.9","409","157","390","118",31.1,"10",2.6,2
"Muncy, Max","571970","378","15.2",34.9,"112.3","91.2","102.1","97.3","83.6","466","190","411","176",46.6,"61",16.1,10.3
"Urías, Luis","649966","378","14.2",34.9,"111.5","87.9","99.1","93.4","84.8","427","166","397","153",40.5,"35",9.3,6.1
"Lowe, Brandon","664040","371","16.9",37.2,"111.2","89.3","100.9","93.8","83.8","441","193","398","160",43.1,"52",14,8.5
"Marte, Starling","516782","371","4.6",32.3,"112.9","87.6","100.2","93.4","84.5","436","137","418","147",39.6,"31",8.4,5.9
"Wong, Kolten","543939","365","12.8",34.8,"107.1","88.3","98.3","91.5","86.3","415","162","391","127",34.8,"20",5.5,4.1
"Lindor, Francisco","596019","365","14.4",35.3,"112.9","90.7","100.7","94","88.3","436","172","396","161",44.1,"30",8.2,5.7
"Moncada, Yoán","660162","365","11.3",40,"113.8","90.1","100.9","92.8","88","433","165","402","149",41.2,"30",8.2,4.9
"Molina, Yadier","425877","364","15.3",34.1,"108.2","88","97.7","92.1","84.6","433","173","394","115",31.6,"19",5.2,4
"Arozarena, Randy","668227","364","7.6",29.7,"112.6","89.9","101.3","94.5","87.3","445","149","401","154",42.3,"30",8.2,5
"Aguilar, Jesús","542583","363","19",34.7,"110.6","89.6","100","92.5","87.4","444","193","399","149",41,"31",8.5,6.1
"Cabrera, Miguel","408234","363","10",32.8,"112.6","91.4","102","95.9","88.1","445","162","394","178",49,"30",8.3,5.7
"Torres, Gleyber","650402","361","14.2",37.1,"111.6","87.1","98.7","92","82.1","425","169","389","129",35.7,"28",7.8,5.4
"Harper, Bryce","547180","360","13.3",38.6,"116.3","92.5","104.1","97.6","86.5","468","186","411","179",49.7,"65",18.1,10.9
"McCutchen, Andrew","457705","357","14.6",33.6,"110.8","88.8","99.4","93.4","83.9","445","175","402","141",39.5,"32",9,5.6
"Cron, C.J.","543068","357","15.8",31.9,"114.7","88.8","101.7","92.5","86.6","465","183","420","150",42,"41",11.5,7.5
"Stanton, Giancarlo","519317","356","10.3",32.6,"122.2","95.1","108.7","99.3","93.3","472","168","414","198",56.3,"56",15.7,9.7
"Margot, Manuel","622534","356","10.7",31.5,"109.6","87.9","99.8","92.1","86.3","427","150","401","143",40.2,"18",5.1,3.9
"Solak, Nick","669256","355","7",29.3,"110.6","86.9","98.2","92.9","83.4","423","138","386","119",33.5,"23",6.5,4.5
"Simmons, Andrelton","592743","354","3.9",28.8,"108.2","84.1","94.6","87.3","84","408","122","389","77",21.8,"2",0.6,0.4
"Lowrie, Jed","476704","353","16.4",36.5,"109.9","90.7","100.2","94.1","87.7","433","188","398","162",45.9,"33",9.3,6.4
"Donaldson, Josh","518626","351","14.6",30.2,"114.7","94.1","104.2","98.7","90.4","446","173","410","185",52.7,"61",17.4,11.2
"Pham, Tommy","502054","351","7.6",35.6,"112.7","90.8","101.8","96.1","86.7","486","159","402","167",47.6,"35",10,6.2
"Rojas, Josh","668942","351","8.4",40.7,"104.6","88.2","97.1","91.6","85.6","428","159","404","109",31.1,"17",4.8,3.1
"Ohtani, Shohei","660271","350","16.6",35.4,"119","93.6","105.9","100.4","85.9","470","197","416","187",53.6,"78",22.3,12.2
"Wendle, Joey","621563","350","6.2",30.6,"108.7","87.9","98.2","91.8","84.9","451","152","390","121",34.6,"16",4.6,3.2
"Realmuto, J.T.","592663","349","11.5",31.2,"111.2","89.6","101.3","94.3","85.9","433","160","382","156",44.7,"30",8.6,5.6
"Grisham, Trent","663757","348","12.3",30.7,"109.4","88.8","99.3","93.1","85.5","419","162","386","128",36.8,"18",5.2,3.4
"Winker, Jesse","608385","348","10.8",38.2,"113.4","90.6","101.3","95.6","86.9","456","171","407","164",47.1,"39",11.2,8
"Taylor, Michael A.","572191","346","12.1",30.3,"111.5","89.4","100.4","92.5","86.7","458","162","405","139",40.2,"23",6.6,4.4
"García, Avisaíl","541645","345","9.3",35.9,"116.7","90.4","102.7","95.2","87.1","464","166","409","160",46.4,"42",12.2,8.2
"Taylor, Chris","621035","344","17.4",38.1,"110.7","88.2","99.8","92.7","82.8","443","182","404","131",38.1,"35",10.2,6
"Duvall, Adam","594807","342","23.6",33.3,"113.8","89.8","101.6","94.9","83.3","483","197","414","150",43.9,"55",16.1,9.9
"Adames, Willy","642715","342","16.8",35.1,"112.5","89.5","100.7","94.4","83","446","189","397","153",44.7,"39",11.4,7
"Yastrzemski, Mike","573262","341","19.4",33.1,"109.4","89.5","99.2","93.5","84.4","451","191","401","134",39.3,"35",10.3,6.6
"Smith, Dominic","642086","340","14.9",40.6,"109.5","89","99.2","92.6","85.6","435","179","400","138",40.6,"22",6.5,4.5
"Hampson, Garrett","641658","340","13",33.5,"107","87","97.2","91.6","81.5","456","174","403","106",31.2,"17",5,3.4
"Suárez, Eugenio","553993","339","18.3",33,"111.9","89.1","100.3","93.9","84.7","452","190","406","135",39.8,"51",15,8.9
"Dozier, Hunter","641531","339","15.8",33,"113","89.9","100.9","94.1","87.3","434","182","406","143",42.2,"30",8.8,5.5
"Chapman, Matt","656305","336","18.6",32.1,"113.3","89.7","101.1","94","86","431","187","409","140",41.7,"46",13.7,7.4
"Flores, Wilmer","527038","336","18",32.7,"109.7","88.6","97.9","92.7","84.9","429","179","393","119",35.4,"20",6,4.6
"Kepler, Max","596146","334","16.3",35.3,"110.8","89.8","100.9","93","88.6","422","180","395","142",42.5,"36",10.8,7.3
"Ahmed, Nick","605113","333","10.1",27.6,"109.5","87.2","96.7","90.5","85.8","419","145","399","93",27.9,"8",2.4,1.7
"García, Leury","544725","332","4.3",29.8,"109.6","86.1","97.4","90.2","83.5","430","129","406","108",32.5,"11",3.3,2.3
"McNeil, Jeff","643446","329","12",30.4,"108.3","88.1","97.7","91.6","87.2","417","154","403","110",33.4,"14",4.3,3.3
"Tatis Jr., Fernando","665487","329","13.8",33.1,"116.6","93.9","105.7","99.9","87.9","477","184","416","183",55.6,"70",21.3,12.8
"Votto, Joey","458015","325","18.2",44.3,"114.1","92.9","102.5","96.9","86.1","466","207","403","173",53.2,"56",17.2,10.5
"Rosario, Eddie","592696","324","15.5",34.3,"108.4","88.5","98.1","93.1","84","423","173","392","116",35.8,"19",5.9,4.6
"Chisholm Jr., Jazz","665862","324","9",28.7,"112.1","90.2","100.8","94.7","87","446","152","410","136",42,"29",9,5.7
"Villar, Jonathan","542340","324","7",29.9,"114.9","88","99.8","93.2","84.7","437","148","404","113",34.9,"24",7.4,4.8
"Smith, Will","669257","324","19.4",38,"108.6","90.1","99.8","93.8","84.5","444","205","396","142",43.8,"35",10.8,7
"Vaughn, Andrew","683734","321","9.7",33.6,"115","91.1","101.7","94.5","88.2","447","169","408","151",47.3,"35",10.9,7.5
"Báez, Javier","595879","321","10.6",32.4,"116.7","90.1","102.1","95.8","86.6","455","156","403","145",45.2,"43",13.4,7.9
"O'Neill, Tyler","641933","318","17.8",39.9,"113.1","93","104.2","98.2","86.3","463","192","414","166",52.2,"57",17.9,10.6
"Pederson, Joc","592626","317","14.1",31.2,"113.6","91","102","96.3","86.4","435","174","408","151",47.6,"32",10.1,6.7
"Franco, Maikel","596748","313","9.1",28.1,"113.9","88.2","99.5","92.6","86.3","434","139","402","106",33.9,"16",5.1,4
"Narváez, Omar","553882","313","17.9",40.3,"107.9","84.6","95.2","89.3","78.8","415","182","395","80",25.6,"16",5.1,3.6
"Urshela, Gio","570482","312","7.5",36.2,"110.4","88.9","99.8","93.2","85.4","453","157","400","131",42,"25",8,5.7
"Happ, Ian","664023","312","9.9",30.8,"112.1","89.5","100.7","93.8","85.6","451","159","402","129",41.3,"34",10.9,6.4
"Posey, Buster","457763","310","8.7",38.4,"109.2","88.5","98.7","93.8","83.4","428","160","387","122",39.4,"25",8.1,5.5
"Santander, Anthony","623993","310","18",34.5,"112.8","90.7","101.4","94.2","90","443","180","406","135",43.5,"26",8.4,5.9
"Castro, Willi","650489","310","11.4",34.2,"115.4","85.6","98.1","88.8","85.5","424","145","390","91",29.4,"16",5.2,3.6
"Naquin, Tyler","571980","308","9.6",31.2,"113.5","89.8","101.6","93.3","87.6","459","154","410","128",41.6,"32",10.4,7
"Gregorius, Didi","544369","308","18.3",32.1,"107.6","86.1","96.3","88.8","85.8","438","166","389","82",26.6,"7",2.3,1.7
"Pollock, AJ","572041","306","12",35,"111.2","90.3","101.2","95.5","84.8","430","176","405","145",47.4,"34",11.1,8.1
"Myers, Wil","571976","305","10.6",31.5,"107.8","88","99.2","92.6","83.3","434","157","394","116",38,"23",7.5,4.6
"Rodgers, Brendan","663898","305","6.3",30.5,"111.8","88.8","100.4","92.8","86.1","451","152","408","123",40.3,"19",6.2,4.6
"Conforto, Michael","624424","304","13.2",32.9,"111.3","88.5","99.6","93.5","84.4","469","166","408","120",39.5,"28",9.2,5.8
"Bregman, Alex","608324","299","15.9",33.8,"107.5","89","98.7","92","87.6","418","171","383","114",38.1,"19",6.4,4.8
"Gardner, Brett","458731","298","12.5",28.9,"108.6","86.7","97.8","92.1","84.5","408","147","378","98",33.2,"10",3.4,2.2
"Walker, Christian","572233","297","15.6",34,"111.1","88.8","100.3","92.4","86.7","440","177","404","122",41.1,"19",6.4,4.3
"Baddoo, Akil","668731","294","13.8",37.4,"111.8","86","97.3","91.1","80.9","450","173","385","95",32.3,"26",8.8,5.6
"Profar, Jurickson","595777","291","14",30.6,"107.6","85.3","96.6","89.5","84","431","145","384","88",30.2,"8",2.7,1.9
"Stallings, Jacob","607732","291","10.7",37.1,"106.2","88.1","98.1","91.1","85.5","409","164","393","106",36.4,"13",4.5,3
"Seager, Corey","608369","290","10.7",36.6,"115.3","91","102.1","97.3","85.7","464","172","404","143",49.3,"36",12.4,8.8
"Yelich, Christian","592885","289","2.8",29.4,"114.9","91","102.9","96.1","87.5","454","137","409","141",48.8,"22",7.6,4.6
"Sanó, Miguel","593934","288","17.6",32.3,"117.1","93.4","105.5","99.4","87.3","495","185","415","161",55.9,"51",17.7,9.6
"Kemp, Tony","643393","288","18.4",38.5,"100.6","86.7","94.5","89.8","82.8","387","178","359","63",21.9,"3",1,0.8
"Gallo, Joey","608336","286","22.7",29,"115.1","91.5","103.5","98","84.7","462","190","408","130",45.8,"53",18.5,8.6
"Ramírez, Harold","623912","286","6.2",24.5,"114.8","91.3","102.9","95.1","90.4","428","137","393","135",47.2,"18",6.3,5
"Galvis, Freddy","520471","284","14.1",34.9,"109.3","86.8","97.4","90.9","84.3","416","165","383","90",31.7,"14",4.9,3.6
"Bader, Harrison","664056","284","13.3",27.1,"111.5","86.2","98.2","91.3","82.7","453","161","405","90",31.7,"20",7,5
"Toro, Abraham","647351","283","13.7",29.7,"109","86.8","97.9","90.1","84.1","430","172","382","96",33.9,"21",7.4,5.6
"Hoskins, Rhys","656555","283","21.7",36.7,"112.2","91.2","101.8","95.8","85.3","441","204","407","131",46.3,"48",17,10.8
"Torreyes, Ronald","591720","283","12.2",30,"106.9","82.2","92.1","85.7","79.9","401","140","375","40",14.1,"1",0.4,0.3
"Murphy, Sean","669221","282","15.4",31.9,"112.8","89.2","100.7","93.5","87","454","172","411","120",42.6,"32",11.3,7.1
"Marte, Ketel","606466","281","10.3",33.5,"116","91.1","102.7","95.1","90","457","162","410","136",48.4,"25",8.9,6.7
"Stephenson, Tyler","663886","280","7.4",36.1,"106.6","88.4","98.5","93.1","85","420","150","391","107",38.2,"15",5.4,3.7
"Díaz, Elias","553869","279","14.7",30.1,"109.5","87.1","99.8","91.4","85.3","451","168","404","105",37.6,"22",7.9,5.9
"Contreras, Willson","575929","279","9.6",30.1,"115.4","91.8","103.7","96","89.6","464","155","410","135",48.4,"31",11.1,6.4
"Hayes, Ke'Bryan","663647","277","2.6",27.4,"111","90.2","101.4","93.5","88.4","424","135","394","127",45.8,"14",5.1,3.5
"Severino, Pedro","600474","275","15.2",33.5,"114.6","88.2","101","93.8","85.5","442","160","407","106",38.5,"21",7.6,5
"Schwarber, Kyle","656941","274","15.4",36.9,"116.6","92.3","103.9","97.3","86.5","463","186","414","143",52.2,"48",17.5,10.2
"Bohm, Alec","664761","273","5.6",33.3,"111.6","92","102","93.6","91.5","436","145","387","135",49.5,"18",6.6,4.3
"Reyes, Franmil","614177","272","9.8",31.3,"114.9","91.9","104.7","97.9","87.8","452","165","414","132",48.5,"46",16.9,9.9
"Gomes, Yan","543228","272","14.1",39.3,"107.7","89.6","98.9","94.2","86","429","179","397","104",38.2,"24",8.8,6.4
"Dickerson, Corey","572816","269","10.1",29,"109.8","87.8","99.3","93","85.4","432","141","398","96",35.7,"8",3,2.2
"Escobar, Alcides","444876","267","11.1",36.3,"105.7","81.7","93.7","85.9","77.8","410","145","400","56",21,"8",3,2.3
"Gosselin, Phil","594838","265","11.5",30.2,"110","87.6","98.4","90.5","85.8","430","158","396","93",35.1,"9",3.4,2.4
"McCann, James","543510","263","9.3",32.3,"112.5","87.3","99.6","92.3","84.3","417","147","387","107",40.7,"16",6.1,3.9
"Sánchez, Gary","596142","262","20.5",34.4,"113.4","89.5","101.4","95.1","83.8","446","180","406","110",42,"36",13.7,8.2
"Dalbec, Bobby","666915","262","17.3",36.3,"115.6","92.4","103.5","97","86.6","453","195","403","126",48.1,"53",20.2,11.7
"Bradley Jr., Jackie","598265","258","9.6",27.9,"108.4","89.7","98.9","93.5","87.6","415","144","404","104",40.3,"13",5,3
"Castro, Starlin","516770","257","9.2",33.9,"111.2","88.4","99.9","93.1","85.8","433","148","413","103",40.1,"14",5.4,4
"Heyward, Jason","518792","255","7.5",27.5,"115.3","88.2","100.6","93.3","87.1","428","137","405","108",42.4,"12",4.7,3.4
"DeJong, Paul","657557","255","16.4",33.3,"109.5","86.3","98.6","93.5","79","431","182","400","90",35.3,"27",10.6,6.7
"Solano, Donovan","456781","254","11",39.8,"108.1","88.3","98.2","92","84.1","410","175","390","93",36.6,"19",7.5,5.5
"Lux, Gavin","666158","254","11.3",34.6,"109.7","89.8","99.9","92.6","88.7","421","154","399","102",40.2,"10",3.9,2.6
"Wade Jr., LaMonte","664774","254","19.8",37.8,"109.3","90.1","99.9","92.7","88.4","430","189","396","106",41.7,"27",10.6,7.1
"Kiermaier, Kevin","595281","253","1.1",29.6,"107.9","86.6","98","91.3","84.5","406","130","376","92",36.4,"10",4,2.6
"Castro, Harold","605612","252","10.2",43.7,"107.2","88.6","98","91.5","85.2","447","165","403","97",38.5,"8",3.2,2.4
"Barnhart, Tucker","571466","251","15.5",37.1,"106.7","87.1","96.4","91","83.4","412","172","392","78",31.1,"10",4,2.6
"Torrens, Luis","620443","250","6.1",34.4,"109.2","90.9","100.3","95","87.9","432","153","391","108",43.2,"26",10.4,6.9
"Nimmo, Brandon","607043","248","8.8",34.3,"111.5","89.3","100.1","91.4","88.8","423","149","397","102",41.1,"10",4,2.6
"Daza, Yonathan","602074","248","6.6",32.3,"106.5","85.2","95.4","87.8","83.5","415","138","414","67",27,"5",2,1.5
