"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Merrifield, Whit","593160","573","14.1",39.8,"107.8","86.9","96.2","91.4","82.2","414","169","384","165",28.8,"20",3.5,2.8
"Fletcher, David","664058","573","8.2",30,"107.9","82.3","92.7","83.3","83.8","377","129","369","90",15.7,"0",0,0
"Edman, Tommy","669242","552","9.5",31.5,"112.9","87.5","98.1","90.5","86","436","151","405","194",35.1,"23",4.2,3.3
"Kiner-Falefa, Isiah","643396","548","5.4",31.6,"107.9","85.5","96.3","89.5","83.6","423","134","401","158",28.8,"10",1.8,1.5
"Altuve, Jose","514888","517","15.6",31.9,"109.1","87.7","98.4","92.9","84.1","435","163","386","181",35,"33",6.4,4.9
"Frazier, Adam","624428","512","12.6",38.9,"108.7","85.4","94.8","87.1","85.3","411","158","383","129",25.2,"5",1,0.8
"Crawford, J.P.","641487","510","9.8",34.1,"110.5","86.3","97.3","88.3","86.4","430","146","383","156",30.6,"12",2.4,1.7
"Semien, Marcus","543760","509","20.3",35.2,"109.5","89.7","99.3","93.9","84.3","439","199","388","210",41.3,"50",9.8,6.9
"Albies, Ozzie","645277","508","21.1",37,"111.4","89.6","98.7","92.3","86.3","439","200","401","189",37.2,"47",9.3,6.9
"LeMahieu, DJ","518934","508","5",33.3,"110.6","90.6","100.1","92.9","89.2","412","141","375","220",43.5,"19",3.7,2.8
"Bichette, Bo","666182","507","7.3",33.5,"115.5","91.4","102.6","94.6","90","468","153","401","241",47.5,"50",9.9,7.2
"Arenado, Nolan","571448","504","20",34.1,"110.6","89","98.7","92.1","87.4","409","188","387","189",37.5,"34",6.7,5.2
"Schoop, Jonathan","570731","498","10.8",30.1,"117.1","88.1","101.2","91.7","87.9","440","145","395","200",40.2,"34",6.8,5
"Guerrero Jr., Vladimir","665489","496","9.4",33.7,"117.4","95.1","106.8","98.5","93.4","465","172","409","274",55.2,"75",15.1,10.7
"Freeman, Freddie","518692","495","12",37.2,"113.6","91.4","101.8","95.4","87.4","446","178","407","228",46.1,"57",11.5,8.2
"Turner, Trea","607208","489","11.4",34.6,"112.2","89.6","101.3","92.6","88.1","443","159","406","226",46.2,"36",7.4,5.6
"Newman, Kevin","621028","485","9.9",31.8,"109.4","85.3","95.8","86.8","86.1","400","146","384","126",26,"8",1.6,1.4
"Cronenworth, Jake","630105","483","12.5",35.8,"110.8","88.6","98.7","92.2","86.5","445","165","400","169",35,"35",7.2,5.4
"Mullins, Cedric","656775","482","14.8",35.5,"109.7","89.4","99.4","92.4","88.7","440","171","397","190",39.4,"39",8.1,5.8
"Polanco, Jorge","593871","476","19.3",36.1,"109.9","89.4","99.6","93.5","83.1","435","188","399","178",37.4,"48",10.1,7.5
"Gurriel, Yuli","493329","474","13.4",31,"109.1","89.8","99.9","91","91.3","413","161","384","199",42,"16",3.4,2.6
"Machado, Manny","592518","473","14",33.8,"119.6","93.1","104.9","96.8","91.5","453","177","401","247",52.2,"63",13.3,9.8
"Goldschmidt, Paul","502671","472","17.1",36.9,"112.2","92.6","102.7","96.6","88.7","470","188","415","239",50.6,"64",13.6,9.4
"France, Ty","664034","471","11",35.9,"111.1","88.5","99.6","92.5","85.5","442","160","403","183",38.9,"32",6.8,4.9
"Ramírez, José","608070","470","18.2",33.4,"112.6","90","100.8","94.7","88","429","179","388","199",42.4,"52",11.1,8.2
"Santana, Carlos","467793","468","12.9",28,"111.2","89.9","100.5","94.1","88.2","447","155","408","196",41.9,"32",6.8,4.9
"Olson, Matt","621566","463","16.2",32.4,"115.3","91.6","102.9","96.1","88.7","445","178","401","226",48.8,"59",12.7,8.8
"Haniger, Mitch","571745","459","14.8",33.6,"110","89.3","100.9","94.2","85.2","438","172","401","207",45.1,"58",12.6,8.4
"Perez, Salvador","521692","454","15.9",34.1,"114.4","93","104.1","97.6","88.8","460","189","407","255",56.2,"74",16.3,11.1
"Verdugo, Alex","657077","453","7.7",34.7,"110.8","90","100.4","94.6","87.2","446","150","402","196",43.3,"33",7.3,5.5
"Devers, Rafael","646240","452","13.1",35.2,"114.4","92.9","104.1","97.3","90.3","457","175","414","234",51.8,"68",15,10.2
"Straw, Myles","664702","448","11.9",42,"109.8","87.1","95.7","88.1","86.7","409","165","364","117",26.2,"6",1.3,0.9
"Seager, Kyle","572122","446","19.5",35.7,"111","89","99.7","94.1","82.4","446","196","402","179",40.1,"55",12.3,8.2
"Correa, Carlos","621043","445","12.1",33.5,"116.4","90.2","101.6","94","88.5","442","166","386","190",42.7,"42",9.4,6.6
"Reynolds, Bryan","668804","444","13.4",39.9,"112.7","89.4","100.9","93.8","84","454","181","410","181",40.8,"46",10.4,7.1
"Segura, Jean","516416","441","5.8",30.8,"113.1","87.2","99.7","92.5","84.6","433","137","396","165",37.4,"26",5.9,4.6
"Turner, Justin","457759","441","19.2",36.5,"109.8","90.9","99.6","93.3","89","425","192","394","187",42.4,"35",7.9,5.7
"Hernández, César","514917","438","10.7",32.6,"110.2","87.4","98.4","90.6","85.3","425","159","395","145",33.2,"30",6.8,4.7
"Lopez, Nicky","670032","438","2.8",27.4,"107.9","86.8","95.9","90","85.2","395","121","382","118",26.9,"3",0.7,0.5
"Alonso, Pete","624413","438","14.7",34.5,"118.4","91","103.7","95.5","88","453","183","407","207",47.3,"65",14.8,10.2
"Rosario, Amed","642708","434","5.5",32,"111.5","88.8","100","90.8","88.8","423","140","404","188",43.5,"12",2.8,2
"Harrison, Josh","543281","433","14.5",39.5,"108.2","87.2","97.2","89.9","85.5","417","172","396","141",32.6,"19",4.4,3.4
"Abreu, José","547989","433","10.4",31.2,"115.6","92","102.9","95.3","90","458","161","402","213",49.3,"44",10.2,6.7
"Riley, Austin","663586","430","14.2",36.5,"114.2","90.1","102.9","95","84.8","449","178","403","196",45.6,"57",13.3,8.6
"Swanson, Dansby","621020","429","14.1",36.6,"109.6","89.3","99.9","94.4","83.8","440","177","403","183",42.7,"49",11.4,7.5
"Blackmon, Charlie","453568","426","10.2",32.6,"109.8","87.6","99.4","92.7","84.4","444","157","410","164",38.5,"30",7,5.2
"Escobar, Eduardo","500871","426","20.8",38,"110.8","87","98.2","91.8","82.2","453","190","407","147",34.5,"38",8.9,6.3
"Martinez, J.D.","502110","425","16.9",41.2,"113.2","92.1","102.4","95.3","88.1","444","195","398","210",49.4,"53",12.5,8.4
"Bogaerts, Xander","593428","423","12.5",36.4,"113.6","89.6","100.9","93.7","86.4","446","168","402","182",43,"41",9.7,6.8
"Andrus, Elvis","462101","423","8.1",34,"109.8","87.8","98.1","91.3","86.3","422","146","401","147",34.8,"9",2.1,1.7
"Rojas, Miguel","500743","423","11.5",32.4,"109.4","86.2","96.9","89","86.4","409","152","398","139",32.9,"12",2.8,2.2
"Candelario, Jeimer","600869","422","12.6",38.6,"111","88.7","99.8","91.7","85.9","436","171","396","165",39.1,"38",9,6.1
"Tapia, Raimel","606132","422","-4.4",19.9,"109.9","85.7","97","88.7","85","442","98","414","133",31.5,"9",2.1,1.7
"Tucker, Kyle","663656","421","17.6",42,"111.1","91.4","100.8","94.3","88.8","459","201","394","200",47.5,"49",11.6,8.6
"Brantley, Michael","488726","417","9.9",38.8,"109.4","89.5","99.7","92.8","87.6","424","159","398","179",42.9,"24",5.8,4.7
"Castellanos, Nick","592206","416","14",44,"111.9","89.8","101.5","94.9","83","446","190","399","195",46.9,"44",10.6,7.5
"Soto, Juan","665742","414","5.8",29.7,"116.6","93","104.6","98.1","89.4","454","148","399","218",52.7,"55",13.3,8.4
"Rizzo, Anthony","519203","414","14.8",31.2,"115.2","90.1","100.7","93.1","88.1","449","168","402","170",41.1,"32",7.7,5.6
