"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","611","13.7",40.9,"108.4","86.3","94.8","89.3","83.9","401","164","379","145",23.7,"10",1.6,1.5
"Semien, Marcus","543760","546","17",33,"112.1","87.4","97.8","91.1","84.4","422","173","387","192",35.2,"36",6.6,5
"Ramírez, José","608070","544","19.6",34,"116.6","89.2","99.6","93","87.5","451","184","389","216",39.7,"47",8.6,6.9
"Witt Jr., Bobby","677951","538","15.1",35.7,"116.9","92.7","104","95.3","91.1","468","187","411","260",48.3,"77",14.3,10.9
"Guerrero Jr., Vladimir","665489","524","7.4",35.1,"117.6","93.8","105.7","97.1","91.6","471","162","412","287",54.9,"72",13.7,10.3
"Hoerner, Nico","663538","519","10.4",36,"110.1","85.7","96","87.4","85.7","400","150","368","143",27.6,"6",1.2,0.9
"Duran, Jarren","680776","515","9.5",33.6,"113.9","90.8","101.9","94.8","88.8","433","159","403","226",43.9,"48",9.3,6.5
"Donovan, Brendan","680977","511","13.2",36.6,"108.7","88.7","98.6","92.1","87.2","422","165","385","192",37.6,"28",5.5,4.3
"Altuve, Jose","514888","509","14.1",34.8,"108.4","86.5","97.3","89.1","84.3","438","157","390","159",31.2,"33",6.5,4.8
"Peña, Jeremy","665161","500","7.5",28.8,"109.5","88.2","99.3","91.3","86.3","418","144","399","194",38.8,"27",5.4,4.2
"Bregman, Alex","608324","499","18.2",34.9,"109.1","89.1","99","92.8","86.9","424","178","387","202",40.5,"32",6.4,5
"Giménez, Andrés","665926","495","8.7",32.7,"109.6","86.3","96.5","89.6","84.6","413","140","394","141",28.5,"14",2.8,2.2
"Lindor, Francisco","596019","494","17",35.4,"112.7","90.9","101.1","95.1","85.4","432","188","397","234",47.4,"67",13.6,9.7
"Arenado, Nolan","571448","493","16.9",35.9,"107.5","86.3","96.9","88.9","84.6","425","164","384","156",31.6,"16",3.2,2.5
"Winn, Masyn","691026","486","13.2",33.1,"111.1","87","98.1","89.3","87","417","160","394","159",32.7,"18",3.7,2.8
"Diaz, Yainer","673237","486","8.9",35,"111.4","90.2","101.3","94.6","87.5","455","147","394","231",47.5,"37",7.6,6
"Volpe, Anthony","683011","486","8.4",33.1,"108.7","87.7","98.2","91.6","84.9","421","146","383","172",35.4,"19",3.9,2.8
"Garcia, Maikel","672580","481","6.4",33.9,"108.6","90.4","100.1","92.4","89.5","423","147","401","206",42.8,"18",3.7,2.9
"Ohtani, Shohei","660271","479","16.2",37.8,"119.2","95.8","106.7","99.7","91.4","476","199","415","288",60.1,"103",21.5,14.1
"Verdugo, Alex","657077","478","9.9",31.6,"110.7","88.3","98","91.6","86.5","422","151","390","167",34.9,"27",5.6,4.3
"Burleson, Alec","676475","478","13.6",34.3,"111","89.7","99.4","93.4","86.3","435","169","387","199",41.7,"31",6.5,5.2
"Rutschman, Adley","668939","475","18.8",35.4,"109.3","88.2","98.1","90.4","86.4","425","184","391","174",36.6,"29",6.1,4.5
"Henderson, Gunnar","683002","475","9.2",34.5,"113.1","92.8","104","96.1","90.8","430","163","399","256",53.9,"53",11.2,7.4
"Bohm, Alec","664761","474","10.1",35.2,"110.8","90.4","100.8","92.4","90","427","160","397","216",45.6,"32",6.8,5.3
"Machado, Manny","592518","473","12.7",33.8,"115.6","92.5","103.4","95.7","91.3","438","167","402","231",48.8,"52",11,8.1
"Profar, Jurickson","595777","473","13.4",31.3,"110.3","91.1","101","93.1","91","431","164","386","210",44.4,"34",7.2,5.1
"Díaz, Yandy","650490","472","5",28.4,"117.4","92.2","103.4","94.8","92","440","135","395","230",48.7,"36",7.6,5.8
"Santander, Anthony","623993","471","22.7",35,"114.4","89.8","100.3","94.6","86.1","442","192","395","196",41.6,"55",11.7,8.3
"Carroll, Corbin","682998","471","12",27.8,"111.5","89.3","101.1","94.6","88.1","440","149","399","192",40.8,"34",7.2,5
"Castellanos, Nick","592206","469","15.2",39,"113.1","88.4","99.3","91.4","85.4","445","184","398","179",38.2,"38",8.1,5.8
"Reynolds, Bryan","668804","469","9.4",37.5,"111.6","89.9","101","94.5","84.9","440","167","406","213",45.4,"45",9.6,6.5
"Perez, Salvador","521692","467","19",39.4,"113.3","91.1","101.9","95.1","86.7","457","196","420","209",44.8,"57",12.2,8.7
"Tovar, Ezequiel","678662","467","18.9",38.5,"110.6","88.8","99.3","93.1","84.1","456","195","410","186",39.8,"42",9,6
"Cronenworth, Jake","630105","463","13.9",35.4,"110.9","88.6","99.5","92.6","85.9","422","167","392","170",36.7,"36",7.8,5.5
"Naylor, Josh","647304","462","11.1",30.1,"110.9","89.9","100.8","94.3","87.5","445","158","399","189",40.9,"39",8.4,6.2
"Merrill, Jackson","701538","462","14.6",39.4,"111.6","90.4","100.8","93.5","86.9","442","190","399","203",43.9,"52",11.3,8.8
"Turang, Brice","668930","462","6.1",32,"107.8","87","96.9","89.1","86.5","419","133","386","137",29.7,"11",2.4,1.8
"Torres, Gleyber","650402","461","15",38.2,"111.2","88.6","98.3","91.9","85.3","418","177","380","163",35.4,"29",6.3,4.4
"Alvarez, Yordan","670541","461","18.3",35.4,"117","93.1","104.1","95.5","90.9","461","202","407","229",49.7,"67",14.5,10.6
"Soto, Juan","665742","461","10.7",35.4,"115.7","94.2","105.7","99.5","89.3","447","172","404","262",57,"91",19.7,12.8
"Contreras, William","661388","459","6.1",29,"118.1","92.8","103.9","98","89.7","448","144","408","227",49.5,"46",10,6.8
"Freeman, Freddie","518692","450","14.3",43.1,"112.3","89.4","100.3","92.8","85.3","437","185","394","188",41.8,"41",9.1,6.4
"Bleday, JJ","668709","448","18.6",37.1,"113.3","88.5","99","90.9","86.8","417","183","392","162",36.2,"37",8.3,5.8
"Paredes, Isaac","670623","443","22.4",37,"107.3","85","95.9","89.4","79.5","415","179","375","120",27.1,"20",4.5,3.1
"Vaughn, Andrew","683734","443","16.6",33.6,"112.2","90.3","100.9","93.8","87.8","432","176","403","192",43.3,"41",9.3,6.6
"Adames, Willy","642715","440","20.6",38.2,"112.3","88.6","99.8","93","83.4","446","192","400","179",40.7,"53",12,7.7
"Ozuna, Marcell","542303","440","14.4",40.5,"114.8","92.1","103.3","97.1","85.4","448","196","412","235",53.4,"68",15.5,9.9
"Alonso, Pete","624413","440","14.4",30.5,"116.3","89.8","102.8","95.3","86.1","471","171","409","204",46.4,"58",13.2,8.3
"Pasquantino, Vinnie","686469","439","14.6",31.9,"112.2","91","101","93.7","90.8","442","175","397","204",46.5,"31",7.1,5.6
"Steer, Spencer","668715","439","17.4",34.2,"108","88","99.2","92.7","84.9","439","175","390","175",39.9,"28",6.4,4.3
"Olson, Matt","621566","435","16.1",35.4,"113.9","91.5","102.7","95.4","87.3","450","188","403","206",47.4,"54",12.4,7.9
"Bellinger, Cody","641355","432","17.4",32.9,"109.2","87.8","97.3","90.6","85.4","430","179","396","142",32.9,"27",6.3,4.7
"Springer, George","543807","432","9.4",29.2,"110.6","87.5","99.9","93.8","83","434","147","389","161",37.4,"40",9.3,6.5
"Kwan, Steven","680757","431","14.9",38.1,"105.6","86.3","95","88.2","84.8","424","172","382","102",23.7,"11",2.6,2
"Arcia, Orlando","606115","431","8.6",29.7,"107.8","88.2","98.4","92.8","85.9","421","145","394","163",37.8,"23",5.3,3.8
"Ward, Taylor","621493","430","17.4",41.9,"109.4","90.9","100","93.6","86.5","428","203","397","182",42.4,"56",13,8.4
"Goldschmidt, Paul","502671","428","13.1",34.3,"111.4","91.2","101.9","96.5","86.5","457","175","401","212",49.6,"46",10.7,7
"Schanuel, Nolan","694384","426","10.3",36.4,"105.9","86.1","95.3","89.2","83.4","410","157","384","108",25.4,"15",3.5,2.5
"Santana, Carlos","467793","424","16.1",30.9,"113.6","89.2","99.5","93.3","87.4","425","171","392","169",39.9,"31",7.3,5.2
"Stott, Bryson","681082","422","14",35.3,"109.8","87","97.1","90.4","84.7","432","162","393","130",30.8,"15",3.6,2.6
"Bell, Josh","605137","421","10.5",31.4,"111.2","88.9","100.1","93.5","86.2","436","154","395","169",40.1,"32",7.6,5.3
"De La Cruz, Bryan","650559","419","13.1",35.6,"110.5","89.6","99.8","93.7","85.4","432","174","397","173",41.3,"39",9.3,6.3
"Chapman, Matt","656305","419","16.2",31.3,"114.5","93.2","104.4","96.8","91.3","428","178","407","202",48.3,"53",12.6,8.2
"Abrams, CJ","682928","418","15.1",33,"110","88.2","99.5","93.6","84","429","173","404","170",40.7,"29",6.9,4.8
"India, Jonathan","663697","417","13.5",39.1,"110.8","87.2","98.9","91.4","84.8","436","164","395","152",36.5,"32",7.7,5
"Gurriel Jr., Lourdes","666971","417","15.7",33.8,"110.6","88.4","99.5","92","86.3","431","175","395","167",40,"28",6.7,5.1
"Nimmo, Brandon","607043","416","11.2",33.7,"111.5","91.9","101.3","94.5","90.5","440","172","399","197",47.4,"38",9.1,5.7
"García Jr., Luis","671277","415","8.2",32.8,"110.7","89.1","100.2","93.2","85.7","438","158","399","173",41.7,"33",8,6.3
"Harper, Bryce","547180","415","13.5",36.1,"113.8","91.1","102.5","95.1","86.3","428","185","392","200",48.2,"44",10.6,7
"Rodríguez, Julio","677594","413","10.5",33.2,"114.5","91.7","103.6","95.9","88.9","448","159","406","200",48.4,"42",10.2,6.9
"Castro, Willi","650489","413","13.6",38.7,"112.3","87.4","98.9","91.2","84","432","175","399","152",36.8,"29",7,4.6
"Chisholm Jr., Jazz","665862","412","11.4",29.4,"110.1","89.7","100.1","94.4","87.5","440","152","401","169",41.1,"40",9.7,6.4
"Ruiz, Keibert","660688","410","19.8",32.2,"107.9","85.4","95.5","87.7","84.8","418","174","393","105",25.6,"13",3.2,2.7
"Chourio, Jackson","694192","410","7.6",33.2,"111.6","89.7","100.8","93.6","86.5","449","153","399","184",44.9,"32",7.8,5.6
"García, Adolis","666969","409","15",33.7,"116.1","91","101.8","95.5","87.5","428","178","391","197",48.2,"51",12.5,8
"Keith, Colt","690993","408","11.3",34.6,"109.4","87.8","98.5","91","85.2","426","162","395","144",35.3,"23",5.6,4.1
"Turner, Trea","607208","408","11.5",30.9,"110.6","89.1","99.7","93.2","86.2","459","161","405","166",40.7,"28",6.9,5.2
"Smith, Josh","669701","407","15.4",33.7,"108","87.8","98.3","91.7","84.5","410","167","378","151",37.1,"15",3.7,2.5
"Marte, Ketel","606466","407","9.4",33.7,"117","94","104","96.7","93.5","461","166","410","219",53.8,"50",12.3,8.6
"Neto, Zach","687263","407","12.3",29,"111.3","88.5","100.1","94.2","83.9","428","163","398","158",38.8,"34",8.4,5.6
"Suárez, Eugenio","553993","406","19.5",40.4,"111.4","89.1","100.6","93.3","84","452","197","398","172",42.4,"46",11.3,7.2
"Happ, Ian","664023","403","15.1",37,"114","90.8","101.6","94.6","88.5","442","182","397","182",45.2,"47",11.7,7.2
"De La Cruz, Elly","682829","403","9.7",35.5,"114.7","91.8","103","95.9","88.4","455","164","408","184",45.7,"51",12.7,7.3
"Vierling, Matt","663837","402","11.7",34.1,"111.2","89.8","100.2","93","88.3","426","161","385","163",40.9,"30",7.5,5.3
"Hernández, Teoscar","606192","402","10.3",33.8,"114.1","90.6","102.7","96.7","85.5","445","169","400","188",46.8,"60",14.9,9.2
"Doyle, Brenton","686668","401","13.2",36.9,"110.1","89.2","101","93.5","84.1","445","179","411","166",41.4,"42",10.5,7
"Frelick, Sal","686217","400","9.7",29.5,"106.6","83.4","94.4","86.1","82.9","400","134","373","78",19.5,"3",0.8,0.6
"Rafaela, Ceddanne","678882","398","14.9",34.9,"108.2","86.6","98.2","91.5","83","420","157","392","147",36.9,"30",7.5,5.3
"Clement, Ernie","676391","397","16.3",34.3,"109.4","85.5","95.7","90.2","81.8","415","168","393","99",24.9,"15",3.8,3.3
"Betts, Mookie","605141","397","21.4",39.3,"109.4","89.9","98.5","92.1","87.6","421","205","391","157",39.5,"24",6,4.7
"Swanson, Dansby","621020","393","10.4",32.6,"109.8","89.4","100.2","94.9","85.1","425","153","389","168",42.7,"36",9.2,6.1
"Kiner-Falefa, Isiah","643396","392","9.1",31.6,"107.9","86.1","96.7","89.7","84.5","406","147","382","116",29.7,"9",2.3,1.8
"Judge, Aaron","592450","390","19",40.8,"117.5","96.2","107.2","99.9","89.6","477","219","409","238",61,"105",26.9,14.9
"Burger, Jake","669394","389","13",32.4,"115.5","91.3","103.6","96","88.7","441","170","405","182",46.8,"48",12.3,8.3
"Langford, Wyatt","694671","387","16.6",31.3,"111.9","89.6","101.2","92.9","87.9","415","170","395","168",43.4,"36",9.3,6.5
"McMahon, Ryan","641857","386","10",36.5,"113","92.1","102.6","95.5","89","462","167","407","192",49.7,"42",10.9,6.5
"Devers, Rafael","646240","384","11.6",35.2,"114.7","93.2","104.6","96.9","90.6","467","171","405","202",52.6,"50",13,8.3
"Schwarber, Kyle","656941","384","15",31.8,"115.6","93.6","105.2","98.2","90.2","447","175","408","213",55.5,"60",15.6,8.7
"Arozarena, Randy","668227","384","13.2",28.4,"112.1","90.4","100.9","94.6","87.8","445","158","399","167",43.5,"32",8.3,4.9
"Benintendi, Andrew","643217","384","16.1",36.5,"109.5","88","97.2","92","83.8","415","180","382","132",34.4,"24",6.3,4.6
"Morel, Christopher","666624","381","14.2",27.6,"111.4","89.2","101.2","94.6","87.1","446","153","404","154",40.4,"39",10.2,6.4
"Seager, Corey","608369","381","13.5",38.6,"113.3","92.1","103.3","95.9","87.9","457","190","392","193",50.7,"58",15.2,10.9
"Smith, Will","669257","379","18.7",38.3,"109.1","89.4","99.3","92.8","83.5","451","202","396","159",42,"41",10.8,7.5
"Young, Jacob","696285","377","4",27.6,"106.7","85.8","96.9","89.6","84.4","403","123","397","109",28.9,"6",1.6,1.2
"O'Hearn, Ryan","656811","377","12",35,"108.8","89.6","99.7","93.3","86.7","435","171","392","151",40.1,"26",6.9,5.3
"Raleigh, Cal","663728","376","21.2",35.6,"113.9","91","102","95.3","86.1","445","195","397","181",48.1,"58",15.4,9.2
"Taveras, Leody","665750","375","14.7",31.5,"110.1","89","99.2","91.3","88.3","437","168","398","133",35.5,"22",5.9,4.2
"Rooker, Brent","667670","373","18.9",38.3,"113.4","91.9","103.3","96.9","87.2","452","202","413","185",49.6,"62",16.6,10.1
"Rodgers, Brendan","663898","372","4.9",32.8,"111.1","89.3","101.2","92.6","87.7","439","139","414","164",44.1,"21",5.6,3.9
"Turner, Justin","457759","372","17.8",40.1,"106.8","87.1","96.7","90.1","84.3","425","187","389","121",32.5,"17",4.6,3.2
"McCarthy, Jake","664983","372","9.1",30.4,"106.6","84.5","95.6","89.1","81.3","420","134","390","91",24.5,"10",2.7,2
"Heim, Jonah","641680","371","14.5",29.9,"109.8","88.5","98.5","92.1","86.4","411","162","386","135",36.4,"22",5.9,4.5
"France, Ty","664034","370","12.9",30.5,"111.1","88.7","99.7","93.8","86","427","161","399","148",40,"27",7.3,5
"Lowe, Nathaniel","663993","365","7.7",32.6,"111.8","88.9","100.4","92.7","86","441","151","394","146",40,"21",5.8,3.7
"Urshela, Gio","570482","365","10.5",38.6,"109","86.4","96.7","90.4","83.2","416","155","386","103",28.4,"18",4.9,3.9
"Mountcastle, Ryan","663624","365","10.4",36.2,"113.5","90.8","102.1","93.7","88.8","443","167","398","165",45.2,"32",8.8,6.3
"Blackmon, Charlie","453568","364","16.3",34.1,"107.6","84.8","96.1","89.6","81.3","452","169","409","99",27.2,"19",5.2,3.8
"Cruz, Oneil","665833","364","9.8",32.1,"121.5","95.5","107.2","98.5","94.4","472","160","422","200",54.9,"57",15.7,9.5
"McNeil, Jeff","643446","360","14.9",32.2,"107.7","87","96.9","89.3","85.9","402","167","378","112",31.1,"11",3.1,2.3
"Greene, Riley","682985","358","12.2",39.1,"114","91.3","102.1","95.3","86.7","427","177","391","168",47.1,"48",13.4,8.2
"Suzuki, Seiya","673548","356","16.2",38.8,"115.5","91.7","102.6","94.2","89.6","459","198","407","175",49.2,"41",11.5,7
"Soler, Jorge","624585","356","17.9",33.4,"115.4","90.5","101.9","94.6","87.6","478","180","418","157",44.1,"45",12.6,7.8
"Bogaerts, Xander","593428","355","10.9",32.1,"111.3","88.1","98.1","91.1","86.2","447","153","399","118",33.2,"18",5.1,3.9
"Dubón, Mauricio","643289","355","14.6",30.4,"108.3","86.1","96","88.6","86.2","401","153","379","94",26.5,"10",2.8,2.3
"Walker, Christian","572233","354","16.6",35,"113.9","91.2","103.1","95.5","88.3","464","189","407","170",48,"47",13.3,8.5
"Sánchez, Jesús","660821","352","7.7",31.8,"117.2","92.5","104.6","97.1","89.5","480","151","419","180",51.3,"43",12.2,8
"Meyers, Jake","676694","351","14.4",34.8,"110","88.2","99.3","91.9","85.2","415","165","375","130",37,"24",6.8,4.7
"Mullins, Cedric","656775","350","21.5",31.4,"106.4","87.1","97.8","90.7","86","430","172","384","117",33.4,"17",4.9,3.4
"Harris II, Michael","671739","349","7.5",33.5,"114.7","90.5","103.3","95.3","88.3","426","150","406","164",47,"35",10,7.4
"Sheets, Gavin","657757","348","13.5",41.1,"110","87.8","98.9","90.9","86","410","173","387","123",35.3,"20",5.7,4
"Ortiz, Joey","687401","346","9.9",26.3,"111.5","87.8","99.4","91.4","87.2","425","146","395","133",38.4,"16",4.6,3.1
"Ramos, Heliot","671218","344","10.4",34.3,"111.8","91.5","102.6","96.1","87.2","448","169","410","163",47.5,"50",14.5,9.7
"Langeliers, Shea","669127","343","16.3",35.3,"113.7","91.3","102.1","95.4","88.3","454","178","404","151",44,"44",12.8,8.2
"Stephenson, Tyler","663886","342","10.9",33,"111","90.2","100.3","95.1","86","436","163","394","150",43.9,"31",9.1,6
"Thomas, Lane","657041","340","17",31.5,"111","88.8","100.4","92.9","86","429","165","397","138",40.6,"25",7.4,4.7
"Miranda, Jose","669304","339","15.5",33.9,"110.7","88.9","99.4","92.3","87.4","437","173","405","132",38.9,"20",5.9,4.7
"Busch, Michael","683737","338","17.2",36.4,"109.3","89.9","100","95.4","83.6","468","177","404","135",39.9,"38",11.2,6.7
"Albies, Ozzie","645277","338","18.4",33.4,"113.7","88.4","97.1","91.5","87","431","170","395","108",32,"21",6.2,4.8
"Lopez, Nicky","670032","337","5.6",30,"106.5","85","94.1","89.1","83.3","397","124","383","57",16.9,"5",1.5,1.1
"Wong, Connor","657136","336","12.9",30.4,"109.1","86.5","98.7","90.8","83.3","420","153","388","116",34.5,"21",6.3,4.3
